,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
BMP1,11330.382673263417,3.339657970335399,0.4275194691795554,6.568210395577223,5.092355605332961e-11,9.939411764392061e-10
BMP4,1036.764025054484,3.0362335752674507,1.0417275535125103,3.8430388869672454,0.00012152020503878437,0.0006284968931836479
BRCA2,667.2121831685763,4.550308672384172,0.6757551549558821,7.3540230066239145,1.923286084734399e-13,5.4748780670008774e-12
BST1,3269.6249186986674,4.285230106103219,1.0722241339998686,4.9037318640359215,9.403282832021849e-07,8.186219586833584e-06
BUB1,2811.528055942757,5.6230264006896755,0.9776199368438989,8.212337605868717,2.1692333104912964e-16,9.974996892826483e-15
BUB1B,3053.688231678741,5.678671964972767,1.0496692542995971,7.8951197044675245,2.9003673159790544e-15,1.106690688360412e-13
C1R,16981.8568893671,4.219028886788483,0.7142970421960761,4.903570545638471,9.411012234116702e-07,8.187980140865513e-06
C1S,13824.930654326423,3.31468251193767,0.7362504252452223,4.199854873292818,2.6708611673549765e-05,0.00016340658920273708
CA9,3139.4286602403754,5.9685899405305936,3.454380854436524,3.576613948468718,0.0003480736279099451,0.0015883627034427425
CA12,4704.285865986619,3.804212744603473,0.7561426806165272,5.328508780118257,9.902241122840166e-08,1.0730170195573101e-06
CALD1,235616.65814808474,7.896060817453564,0.3161849510650351,7.558347588245507,4.08221968073855e-14,1.2787686847064623e-12
CALR,95301.2795523094,6.0777368122550275,0.19678902409914978,7.4942315061168125,6.668792813788746e-14,2.0142562210405713e-12
CALU,116291.18229030991,7.557999324628935,0.16436249454256338,17.3482680631753,2.0328104391847365e-67,1.4582365685491708e-63
CANX,78703.39937743239,3.297598250835766,0.19487602958311764,7.831624440630246,4.8160633592716256e-15,1.7798743928724876e-13
CAV1,55029.385571342704,7.450671160224362,0.36641981243099825,11.549372628918151,7.4361258925242466e-31,1.9051088960722386e-28
CAV2,7835.701005551216,4.2955995932493805,0.6606201140271092,5.57286772998125,2.5057982365075865e-08,3.0338132741919274e-07
RUNX1,4399.410365757563,3.9634222830524344,0.36208980900651505,9.439935025522097,3.730106316987844e-21,2.973101962768033e-19
SERPINH1,31410.554933831372,7.028947765096939,0.3715727021207722,10.313703383300822,6.110045378174368e-25,7.826859021488183e-23
CCNB1,4948.992143386758,4.424635084047295,0.6934348783652561,6.82830559421952,8.592340411348483e-12,1.8756720385080587e-10
CD36,1163.9290935838176,5.818902971689089,1.900831898070539,4.112682836178072,3.9108751316804464e-05,0.00023005053511365053
CD44,78204.06086013753,7.578712241382071,0.3171812808241265,11.495991424632871,1.3818524734924482e-30,3.478146918806343e-28
CD70,1651.2095021345945,5.245692913282359,21.951413435728384,5.472811431455555,4.429513761928378e-08,5.149937920776859e-07
CD151,30706.65722523839,4.191647885293319,0.3241163902124339,10.382802049460023,2.969298255817156e-25,3.872774734200795e-23
CDK1,2780.1710266454684,5.5620994357689675,0.861478732145688,7.041970775058858,1.895395891324895e-12,4.656377543294225e-11
CDC6,1821.9608441501632,4.406283825464462,0.7422884514320973,6.512588482674857,7.3866674924862e-11,1.3944278751934147e-09
CDC20,3453.8756869302715,3.49245289845229,1.0075395437492833,4.141717307795563,3.447150553367858e-05,0.00020529792025391721
CDC25A,496.5641190317188,3.096226488823321,0.7120288362220889,5.042833879934138,4.5868743946821966e-07,4.248411035539411e-06
CDC25C,502.1292725021977,6.016992434894447,1.0510484780292952,6.4823071308121945,9.033051961893128e-11,1.6787201618818744e-09
CDH2,18872.713886400357,4.036112701967115,0.45299610304454474,6.04887740368285,1.4585859594847258e-09,2.282042831049876e-08
CDH6,8741.12876747338,4.519340607437933,0.7745612688523293,5.862257436650465,4.566163577928082e-09,6.416331915037628e-08
CDH11,28340.977238270294,5.090795804050283,0.3451126936424891,11.018991919920678,3.095057645556823e-28,6.254196062085034e-26
CDK2,2257.7771564211616,3.36428618435122,0.37874017019632167,8.668005519315038,4.397554157667411e-18,2.474184686276641e-16
CDKN1A,17758.27238736878,3.7900764223122514,0.8090926862579747,3.8773930509626227,0.0001055817146777411,0.000557314518205133
CDKN3,1006.3382068317117,3.430801812226432,0.8175702379332569,4.9091083644890805,9.149141481940456e-07,7.979497437167156e-06
CENPA,521.2148620130096,4.712488648400689,0.9108349503704386,5.8847751093208975,3.985956061019796e-09,5.684543897360936e-08
CENPE,3224.7608076106285,4.703419448357896,0.7466363869436592,6.567247973402099,5.12536561712026e-11,9.977424763748218e-10
CENPF,12929.800491897942,6.641477082732991,1.086162463275731,8.169863656024928,3.087381774916921e-16,1.3798961471879459e-14
RCC1,2229.01563624573,3.143102992623647,0.3756018350797515,8.473878275497526,2.373554509448491e-17,1.2217156849601476e-15
CHEK1,1428.1422849551152,4.2150899221888105,0.4325502099441334,9.925222365377119,3.233811203464204e-23,3.462349950455294e-21
CHRNA5,372.3875032688499,4.137614296349085,1.0598293087745256,5.165892007936795,2.392949311730783e-07,2.3676995707173477e-06
CKS2,2142.7543921713723,4.060552320723645,0.7525503700830579,5.981446060728597,2.2116529822549965e-09,3.3400616143592035e-08
CLIC1,15112.162976869158,3.663292885131171,0.26207367112914975,11.867529648603362,1.7454581351213195e-32,5.328103800975653e-30
CNN1,7402.270690589958,4.100713101995186,1.5303859492559226,3.843090374511917,0.00012149470369936039,0.0006284968931836479
CNN2,12708.536956640462,4.427390104103174,0.27472148593574586,13.132909220530308,2.1330171431866377e-39,1.3910180433317586e-36
CNP,19119.929460735686,6.610035813042289,0.4337585564059272,7.845733984925213,4.3042848441688275e-15,1.5998335403961183e-13
NTF3,354.8430275653932,4.621559191980441,1.4364213276497435,4.453378169587339,8.452968020437119e-06,5.921617782676335e-05
NTF4,15.584933199924805,3.9729637120859826,1.359572788778001,3.5033490368753375,0.00045944700056581956,0.00201765721368773
DDR2,23398.16990078273,4.571798127644434,0.33495469683430057,12.053792097047893,1.8522802339638037e-33,6.3385870580245835e-31
TNFRSF11B,8314.27193417951,6.280455787924989,1.2128527253036439,5.0409769100681805,4.631613540153895e-07,4.287081255521802e-06
ORC1,545.5661405364891,3.78723886467507,0.9089056271926702,5.010476323528981,5.42954783862889e-07,4.9490294053881e-06
OXTR,17914.5982364476,6.646018144174281,0.8835798418755428,4.4253565831751445,9.628310646874421e-06,6.631654961627811e-05
P4HA1,17162.907081550442,4.493014166080228,0.4381221111557838,7.728651172118703,1.0869205742687542e-14,3.775798905335064e-13
P4HB,93073.2885739469,6.610149209671005,0.16532737249526447,10.513014774376044,7.524884556744495e-26,1.0584266542707183e-23
SERPINE1,108620.29676365133,7.74989385588902,0.40254866388723465,8.592687931866694,8.495805094724467e-18,4.565142909888088e-16
PAM,38301.312076158836,4.326935216174101,0.2670669852225185,9.468728919674406,2.8326955311695232e-21,2.2831844261623114e-19
PAPPA,14215.142792329741,6.843050297942507,3.395375838908261,9.887559235359355,4.7138037200033946e-23,4.900647968904978e-21
PAWR,4751.873055728503,4.132725426850251,0.41608736314115896,9.540610396623325,1.4199407086368836e-21,1.1913385582931794e-19
PCOLCE,12035.374931054943,6.329110897698969,0.7660269116765879,4.6865215574877634,2.7788756113687112e-06,2.1762297159556167e-05
PDE3A,1493.4926026631088,4.340380608630246,1.496687275409004,4.248806671493099,2.149122883004151e-05,0.00013458518551925165
PDGFRA,12091.654088331374,3.0349304545991846,0.8717480809304886,3.4486370253701235,0.0005634235197365548,0.002405784892160819
PDGFRB,22204.551066134212,3.202403605157431,0.7834705400630468,3.4831453510286123,0.0004955592283145144,0.0021512218604019177
ENPP1,2237.1613466510357,5.046771889766321,0.8080789551814208,5.090049673716282,3.579697282049352e-07,3.40569740753064e-06
ATP8B1,11486.04626171395,6.564192954395279,0.9047854464019621,8.257030098275736,1.4934177602239662e-16,7.02493921506008e-15
PFN1,33035.88002932331,3.2254723929779603,0.29190769282638596,4.532234227453886,5.836308275314553e-06,4.248275739519934e-05
PGK1,45159.08280740491,3.762484368874486,0.3346200426042013,5.5881237288667585,2.2953608450240958e-08,2.802684429239209e-07
PITX1,454.95667757739494,12.541195679027535,3.1899649572584963,5.408638400794233,6.35057019883719e-08,7.157237285366627e-07
PKM,164248.53208895418,6.126001439440238,0.16392999802665906,8.456868998333725,2.7465216792076046e-17,1.3973172528933157e-15
PLAU,20224.274424900257,6.888799971784761,0.6844143398889597,7.925447636953777,2.2732592850312045e-15,8.790957132706925e-14
PLAUR,3666.4473791132855,3.772816458901141,0.5101600775811346,7.269002363875859,3.621520661901953e-13,9.82192002576698e-12
PLEC,62475.604107912695,3.5124129705323464,0.3265278542505647,3.8433790538268937,0.00012135181673262211,0.0006283054906759038
PLOD1,47021.39675726618,6.425090596960794,0.2725178411828458,7.079573828306894,1.4459844903345123e-12,3.6205129987485594e-11
PLOD2,30739.83488810405,6.886744962335495,0.263174174989253,11.806353318192494,3.619206132126093e-32,1.0384950075522611e-29
PLP2,9309.535357399998,4.5399364363960935,0.38889374011010835,11.418315419221523,3.387360592812838e-30,7.8292178029019e-28
PLS3,35265.43398396997,4.159489775393901,0.3784315775923015,5.771895685859317,7.83846384040213e-09,1.0597232236563323e-07
PMAIP1,2173.6759594182254,3.4065126249047832,0.943994912102747,4.33482654980136,1.4587509603490123e-05,9.552122331413637e-05
PRRX1,10137.528303289788,4.770083342457593,0.4828103363447284,8.58995007557912,8.700712293440009e-18,4.65780295798447e-16
PPIB,33526.050661787085,3.5254215093563324,0.28815813122158257,5.872181313064048,4.300979650369996e-09,6.074107518385087e-08
PPIC,4335.310808976768,4.856769442451833,0.3627136108518473,13.35669591633934,1.0826402798503147e-40,7.396495283339268e-38
SPARC,441932.08319585293,7.025399178484967,0.19703228775336587,5.514542781294592,3.496878410033001e-08,4.1257988938111403e-07
STAC,1486.3438506044333,4.542179778457109,0.6640031534794473,7.351208201942358,1.964231798520113e-13,5.5693347061992214e-12
STAT1,43762.410894552566,6.482297703134831,0.43109180265805014,5.019909637335961,5.169579206402841e-07,4.7452305101894786e-06
STC1,7115.144867048536,6.336441843279205,2.0358622362696166,9.67564675411311,3.826643794211479e-22,3.5419908719711026e-20
AURKA,2199.227430771642,4.356444990812616,0.7972803505707865,5.980598827363257,2.2231879337179797e-09,3.353951344379795e-08
SVIL,6459.678733782826,4.289068859881948,0.6426010470754836,6.236156409507452,4.4845272910763114e-10,7.578270087758756e-09
TAGLN,112007.9375231301,7.059135208846821,0.4645821739546716,3.9667833229082414,7.284916451077953e-05,0.0004019872935523669
TBX15,998.4481758547083,4.043603868539323,0.765933896366416,5.8655263529078185,4.477101486574455e-09,6.309722497827476e-08
TCF19,2630.8741939932434,3.4918895370527596,0.8627419125489159,4.6424824696342455,3.4424785457245703e-06,2.638314086298633e-05
TEAD1,13489.817839217487,3.131759281669781,0.1885755810651217,15.156516517394666,6.861319025689543e-52,7.57225723550522e-49
TEAD4,764.2278639360903,4.013860618959677,0.5922404583373122,7.224692675925564,5.022363189853354e-13,1.3418220611699454e-11
TEAD3,2650.970591659303,3.4457076545100116,0.49907380296405346,6.880101820667391,5.980979554899726e-12,1.3449704337640498e-10
TFAP2A,1206.2850936616958,5.547995874181581,0.7463450466584041,7.902300768690726,2.7380175860025206e-15,1.0475290215034178e-13
TFAP2C,1854.1291791933074,3.8440398356317886,0.9473069146506744,4.87029721169663,1.1143051032253127e-06,9.55584896352275e-06
NR2F2,7454.693498065473,3.067533700697758,0.9000962300375616,3.3969313653074074,0.000681460568862066,0.002841300430533002
TFPI,5128.872572681248,5.894628351138821,0.5578930313957131,7.960765132799667,1.709786632564117e-15,6.739095828955326e-14
TFRC,22377.145685295527,4.031523557673911,0.30794255438796325,8.329617524586949,8.11039486022975e-17,3.957817519037967e-15
TGFB1I1,3861.606551680791,3.9927842492175243,0.48270046613574186,8.174094563146067,2.9809595608530447e-16,1.3364945881112073e-14
TGFB2,19811.830912928093,6.507367108565555,0.48064227826728806,6.077191546781779,1.2230563597072317e-09,1.9496877325244058e-08
TGFBI,169987.0270178801,8.007832851020716,0.5451472446028542,14.417761168117686,4.001120626012462e-47,3.5877548513375496e-44
THBS1,260027.90251516295,8.439253395470345,1.089267964592102,15.680994833018259,2.0403340976352807e-55,3.2525192554192634e-52
KLF10,3399.9101582579747,3.501946537284914,0.4196519188026049,6.8627428090493625,6.7550782841410705e-12,1.5095811237160736e-10
TIMP1,23110.819558074465,4.142874625800706,0.34785985665556485,9.607482355863088,7.434452429427736e-22,6.543686442024524e-20
TIMP2,92990.99793764227,6.076954358430415,0.2170208338689441,6.0594854161348914,1.3655770786520322e-09,2.150596525512701e-08
TK1,2059.383644942311,3.9990044309689807,0.8520900806814113,5.362284973632467,8.217576153364296e-08,9.006689463125863e-07
TLN1,51958.493322801776,3.001745904341918,0.29907791146910523,6.570742343312745,5.0065027445831984e-11,9.80159914579044e-10
TSPAN4,4678.390560470907,3.285380410489646,0.4033564862374637,8.078930804567849,6.533708555041497e-16,2.7815761614000105e-14
TOP2A,18290.13589367742,6.961330181803958,1.3298970853144518,9.128720683970561,6.931350341043041e-20,4.827382686550704e-18
TPBG,3757.141756056352,4.511491190729313,0.7298928509951296,6.381983191351828,1.7480915534370936e-10,3.142840791624309e-09
TPM1,105769.2424443069,7.27018623938684,0.3602806923925726,6.298321524201334,3.0088589922235403e-10,5.25159366927386e-09
TPM2,65158.45610666368,6.749326975821411,0.4552466373157642,4.489188067457096,7.1495156578026605e-06,5.0981163589709126e-05
TPM4,98484.93905555403,6.668228117766648,0.2129721629485012,7.837700023569561,4.588736314675185e-15,1.7011524523680847e-13
HSP90B1,94024.07239818077,5.997564730265563,0.16643074742065897,7.205596576763012,5.779026665534633e-13,1.5354017698226922e-11
PHLDA2,1582.2999254111896,5.161393238183337,0.921173900748877,6.456476260646281,1.0716898370327696e-10,1.973752771747002e-09
TTK,2018.2103609820663,6.760115776123829,0.9723061765741716,7.57259912358592,3.658298769064826e-14,1.153529943731276e-12
TWIST1,1077.1258619188793,3.8184635011740404,0.7509238238891371,5.679256148185975,1.3528176228852942e-08,1.7407062274022705e-07
TXNRD1,22710.335565109308,4.109751715224691,0.3825818075781951,7.716121141750955,1.1992333598432028e-14,4.1359137052092376e-13
UGDH,4350.6332267458,3.920685241344177,0.5369211831620578,6.51481817199815,7.277776208205358e-11,1.377496771228526e-09
COL14A1,18354.993620760088,6.67780877046429,0.8030140893038855,4.954809396621987,7.240122596620346e-07,6.459828289409957e-06
