,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
BEST1,875.921478237799,-4.765273375763229,0.5331773991932057,-9.029462429919187,1.7251716978744711e-19,1.1406008455947022e-17
VSNL1,1806.9848315048494,-5.232959261641383,0.9376859974159082,-5.454562007031166,4.9093702040269396e-08,5.64833474877101e-07
VWF,526.1528991774869,-6.3794150264724685,0.5567915310979912,-11.461783123900284,2.052451022786094e-30,5.076985314467602e-28
LAT2,139.2568150402769,-4.4915929996087085,0.5980248793361702,-7.591973703168752,3.1506897116383085e-14,1.0067471111998844e-12
XBP1P1,3.647193646094672,-3.0293516931384787,0.5376352585126511,-5.982343097728373,2.199503505510118e-09,3.3252135715019665e-08
ZAP70,36.65514588780075,-3.9307975599524205,0.6897025910248763,-5.801293746045706,6.5805204588450486e-09,9.028485612778739e-08
ZBTB16,364.6827878793674,-8.832671202177426,1.8773216667349828,-3.9959343477931335,6.443959170150585e-05,0.00036015380683346494
ZNF204P,303.3671176734064,-3.1548145059955073,0.6951586457320291,-4.718623338188726,2.374459917739245e-06,1.8936284847028878e-05
LST1,51.15365927185131,-6.403519118866135,1.403551288532454,-4.222993245900258,2.4107904708104305e-05,0.0001489977656979739
TFEB,697.7322101420591,-3.7093544810365104,0.3744302180576412,-10.16117695440147,2.954876324880553e-24,3.4748861174640405e-22
AP3B2,465.4545737656796,-3.7183097206574263,0.9657500717812948,-3.9003187293500177,9.606613205245253e-05,0.0005121742090511099
RND2,559.859624209537,-3.8421793746654185,0.7633509859758263,-5.109113407623709,3.2367403917557916e-07,3.114521421899419e-06
SYN3,125.54109154123888,-7.179812230774652,1.2411239368555178,-5.4478755095217455,5.0975015006548696e-08,5.855392636500835e-07
TUBB4A,8061.368564483899,-9.483558467761991,0.8450826815480177,-10.792734383855194,3.725373857066652e-27,6.362849848492291e-25
ATP8A1,1712.9044833636297,-5.740348294678239,0.7685664713956696,-7.162731893932254,7.908492848166465e-13,2.0780796134183933e-11
RAPGEF3,806.3599117688799,-5.437811685855405,0.5243217486204536,-10.417869588742178,2.0550482625754788e-25,2.755493217118728e-23
TESK2,280.7954473642111,-3.1773331064118167,0.358916917904423,-9.150105683809414,5.687787721395503e-20,3.980619045798111e-18
MERTK,400.0574597814716,-3.0268319050524686,0.7268615026302135,-4.359110206135667,1.3059233913328353e-05,8.66968433666034e-05
MIR9-1HG,1582.237755821257,-10.026186392568896,1.7307225804025612,-5.056741822950633,4.264799794333977e-07,3.983534026647758e-06
SEMA4D,2109.312058780177,-4.839895147749611,0.9835871506557937,-4.807948774349753,1.5248682453896645e-06,1.2612680108168974e-05
NEBL,1029.0008776059256,-3.4594885196581373,1.070082917035001,-3.302880598251853,0.0009569712600585655,0.003798221892404904
RASL10A,100.38028197819426,-5.810589403214983,0.7290012210937621,-7.926691523969205,2.2506142483391466e-15,8.750558975859548e-14
CSPG5,506.34960087449963,-5.136564950533971,0.7287189114048931,-7.018864758400049,2.236781559409109e-12,5.439170344549574e-11
DLL3,60.11910050582218,-4.5011875447851235,0.859717321148924,-5.228964219817817,1.704623482119383e-07,1.7481224516059177e-06
CERS1,814.3704270819196,-4.507082747947516,0.6677110276185684,-7.873729258963816,3.4422342500177197e-15,1.3030536882586866e-13
TBR1,127.6695363689234,-5.192717202596754,1.2000099749008821,-4.150182261559736,3.3221063638469304e-05,0.00019909047619929787
NRG3,91.5576864832192,-5.950368956147634,1.610300719731711,-3.3276252921427942,0.0008758959213052588,0.003525948031135395
GRAP,41.667307667564344,-3.928329478633212,0.6799622268323402,-5.879041745875766,4.126483037166886e-09,5.867458090607861e-08
ARPP21,263.51045907551503,-5.6139316679146605,0.9130028421832764,-6.025956928052743,1.6811195282829652e-09,2.604645990526534e-08
